"Libelle";"Code"
"Réparation, installation et location d’appareils ménagers (S)";"05.3.3.0"
"Verrerie, vaisselle et ustensiles de ménage";"05.4"
"Verrerie, vaisselle et ustensiles de ménage (SD)";"05.4.0"
"Verrerie, cristallerie, céramique et porcelaine (SD)";"05.4.0.1"
"Articles de coutellerie, couverts et argenterie (SD)";"05.4.0.2"
"Ustensiles et articles de cuisine (SD)";"05.4.0.3"
"Réparation et location de verrerie, de vaisselle et d’ustensiles de ménage (S)";"05.4.0.4"
"Outillage et matériel pour la maison et le jardin";"05.5"
"Outillage et matériel motorisés (D)";"05.5.1"
"Outillage et matériel motorisés (D)";"05.5.1.0"
"Outillage non motorisé et accessoires divers (SD)";"05.5.2"
"Outillage non motorisé (SD)";"05.5.2.1"
"Accessoires divers (SD)";"05.5.2.2"
"Réparation et location d’outillage et de matériel motorisés et non motorisés (S)";"05.5.3"
"Réparation et location d’outillage et de matériel motorisés et non motorisés (S)";"05.5.3.0"
"Biens et services liés à l’entretien courant du foyer";"05.6"
"Articles ménagers non durables (ND)";"05.6.1"
"Produits de nettoyage et d’entretien ménagers (ND)";"05.6.1.1"
"Autres articles de ménage non durables (ND)";"05.6.1.9"
"Services domestiques et services aux ménages (S)";"05.6.2"
"Services domestiques fournis par du personnel salarié (S)";"05.6.2.1"
"Autres services domestiques (S)";"05.6.2.9"
"Santé";"06"
"Médicaments et produits de santé";"06.1"
"Médicaments (ND)";"06.1.1"
"Médicaments, vaccins et autres préparations pharmaceutiques (ND)";"06.1.1.1"
"Médicaments à base de plantes et produits homéopathiques (ND)";"06.1.1.2"
"Produits médicaux (ND)";"06.1.2"
"Produits de diagnostic médical (ND)";"06.1.2.1"
"Dispositifs de prévention et de protection (ND)";"06.1.2.2"
"Dispositifs de traitement à usage personnel (ND)";"06.1.2.3"
"Produits d’assistance (D)";"06.1.3"
"Produits d’assistance à la vision (D)";"06.1.3.1"
"Produits d’assistance à l’audition et la communication (D)";"06.1.3.2"
"Produits d’assistance à la mobilité et à la vie quotidienne (D)";"06.1.3.3"
"Réparation, location et entretien de produits médicaux et d’assistance (S)";"06.1.4"
"Réparation, location et entretien de produits médicaux et d’assistance (S)";"06.1.4.0"
"Services de soins ambulatoires";"06.2"
"Services de soins préventifs (S)";"06.2.1"
"Services de vaccination (S)";"06.2.1.1"
"Autres services de soins préventifs (S)";"06.2.1.9"
"Services dentaires ambulatoires (S)";"06.2.2"
"Services dentaires préventifs (S)";"06.2.2.1"
"Autres services dentaires ambulatoires (S)";"06.2.2.9"
"Autres services de soins ambulatoires (S)";"06.2.3"
"Services de soins curatifs et de réadaptation ambulatoires (S)";"06.2.3.1"
"Services de soins de longue durée ambulatoires (S)";"06.2.3.2"
"Services de soins hospitaliers";"06.3"
"Services de soins curatifs et de réadaptation hospitaliers (S)";"06.3.1"
"Services de soins curatifs et de réadaptation hospitaliers (S)";"06.3.1.0"
"Services de soins de longue durée hospitaliers (S)";"06.3.2"
"Services de soins de longue durée hospitaliers (S)";"06.3.2.0"
"Autres services de santé";"06.4"
"Services d’imagerie diagnostique et de laboratoires d’analyses médicales (S)";"06.4.1"
"Services d’imagerie diagnostique et de laboratoires d’analyses médicales (S)";"06.4.1.0"
"Services de transport d’urgence des patients et de secours d’urgence (S)";"06.4.2"
"Services de transport d’urgence des patients et de secours d’urgence (S)";"06.4.2.0"
"Transports";"07"
"Achats de véhicules";"07.1"
"Automobiles (D)";"07.1.1"
"Automobiles neuves (D)";"07.1.1.1"
"Automobiles d’occasion (D)";"07.1.1.2"
"Motocycles (D)";"07.1.2"
"Motocycles (D)";"07.1.2.0"
"Bicyclettes (D)";"07.1.3"
"Bicyclettes (D)";"07.1.3.0"
"Véhicules à traction animale (D)";"07.1.4"
"Véhicules à traction animale (D)";"07.1.4.0"
"Dépenses d’utilisation des véhicules";"07.2"
"Pièces et accessoires pour véhicules personnels (SD)";"07.2.1"
"Pneus (SD)";"07.2.1.1"
"Pièces pour véhicules personnels (SD)";"07.2.1.2"
"Accessoires pour véhicules personnels (SD)";"07.2.1.3"
"Casque de protection";"07.2.1.3.1"
"Siège-auto pour bébé";"07.2.1.3.2"
"Accessoires divers pour véhicules";"07.2.1.3.3"
"Carburants et lubrifiants pour véhicules personnels (ND)";"07.2.2"
"Gazole (ND)";"07.2.2.1"
"Essence (ND)";"07.2.2.2"
"Autres carburants pour véhicules personnels (ND)";"07.2.2.3"
"Lubrifiants (ND)";"07.2.2.4"
"Entretien et réparation de véhicules personnels (S)";"07.2.3"
"Entretien et réparation de véhicules personnels (S)";"07.2.3.0"
"Entretien de véhicules particuliers";"07.2.3.0.1"
"Réparation de véhicules particuliers";"07.2.3.0.2"
"Autres services relatifs au matériel de transport personnel (S)";"07.2.4"
"Services de parkings et de stationnement (S)";"07.2.4.1"
"Péages (S)";"07.2.4.2"
"Cours de conduite, permis de conduire et contrôles techniques automobiles (S)";"07.2.4.3"
"Auto-école et examen de permis de conduire";"07.2.4.3.1"
"Formalités administratives liées au véhicule personnel";"07.2.4.3.2"
"Location de véhicules personnels sans chauffeur (S)";"07.2.4.4"
"Services de transport de passagers";"07.3"
"Transport de passagers par chemin de fer (S)";"07.3.1"
"Transport de passagers par train (S)";"07.3.1.1"
"Transport de passagers par métro et tramway (S)";"07.3.1.2"
"Transport routier de passagers (S)";"07.3.2"
"Transport de passagers par autobus et autocar (S)";"07.3.2.1"
"Transport de passagers par taxi et location de voitures avec chauffeur (S)";"07.3.2.2"
"Ramassage scolaire (S)";"07.3.2.3"
"Autres transports de passagers par route (S)";"07.3.2.9"
"Transport aérien de passagers (S)";"07.3.3"
"Transport aérien intérieur de passagers (S)";"07.3.3.1"
"Transport aérien international de passagers (S)";"07.3.3.2"
"Transport de passagers par mer et voies navigables intérieures (S)";"07.3.4"
"Transport de passagers par mer et voies navigables intérieures (S)";"07.3.4.0"
"Transport combiné de passagers (S)";"07.3.5"
"Transport combiné de passagers (S)";"07.3.5.0"
"Autres services de transport de passagers (S)";"07.3.6"
"Autres services de transport de passagers (S)";"07.3.6.0"
"Services de transport de marchandises";"07.4"
"Services postaux et de coursiers (S)";"07.4.1"
"Service d’expédition du courrier (S)";"07.4.1.1"
"Services de coursiers et de livraison de colis (S)";"07.4.1.2"
"Autres transports de marchandises (S)";"07.4.9"
"Services de déménagement et d’entreposage (S)";"07.4.9.1"
"Livraison de marchandises (S)";"07.4.9.2"
"Information et communication";"08"
"Matériel d’information et de communication";"08.1"
"Matériel de téléphonie fixe (D)";"08.1.1"
"Matériel de téléphonie fixe (D)";"08.1.1.0"
"Matériel de téléphonie mobile (D)";"08.1.2"
"Matériel de téléphonie mobile (D)";"08.1.2.0"
"Matériel de traitement de l’information (D)";"08.1.3"
"Ordinateurs y compris portables et tablettes (D)";"08.1.3.1"
"Équipements périphériques et leurs composants consommables (D)";"08.1.3.2"
"Équipements périphériques";"08.1.3.2.1"
"Composants consommables pour équipements périphériques";"08.1.3.2.2"
"Appareils de réception, d’enregistrement et de reproduction du son et de l’image (D)";"08.1.4"
"Appareils de réception, d’enregistrement et de reproduction du son et de l’image (D)";"08.1.4.0"
"Appareils d’enregistrement et de reproduction du son";"08.1.4.0.1"
"Téléviseurs";"08.1.4.0.2"
"Autres équipements audiovisuels";"08.1.4.0.3"
"Supports d’enregistrement vierges (SD)";"08.1.5"
"Supports d’enregistrement vierges (SD)";"08.1.5.0"
"Autres matériels et accessoires d’information et de communication (D)";"08.1.9"
"Autres matériels d’information et de communication (D)";"08.1.9.1"
"Autres accessoires d’information et de communication (SD)";"08.1.9.2"
"Logiciels, à l’exclusion des jeux";"08.2"
"Logiciels (S)";"08.2.0"
"Logiciels (S)";"08.2.0.0"
"Services d’information et de communication";"08.3"
"Services de communication fixe (S)";"08.3.1"
"Services de communication fixe (S)";"08.3.1.0"
"Services de communication mobile (S)";"08.3.2"
"Services de communication mobile (S)";"08.3.2.0"
"Services de fourniture d’accès à internet et services de stockage en ligne (S)";"08.3.3"
"Services de fourniture d’accès à internet et services de stockage en ligne (S)";"08.3.3.0"
"Services de télécommunications groupés (S)";"08.3.4"
"Services de télécommunications groupés (S)";"08.3.4.0"
"Réparation et location de matériel d’information et de communication (S)";"08.3.5"
"Réparation et location de matériel d’information et de communication (S)";"08.3.5.0"
"Autres services d’information et de communication (S)";"08.3.9"
"Redevances et frais pour la télévision et la radio (S)";"08.3.9.1"
"Abonnements à des contenus audiovisuels, services de streaming et location de contenus audiovisuels (S)";"08.3.9.2"
"Autres services d’information et de communication n.c.a. (S)";"08.3.9.9"
"Loisirs, sport et culture";"09"
"Biens durables de loisirs";"09.1"
"Matériel photographique, cinématographique et appareils optiques (D)";"09.1.1"
"Appareils photo et caméras (D)";"09.1.1.1"
"Accessoires pour matériel photographique et cinématographique (D)";"09.1.1.2"
"Appareils optiques (D)";"09.1.1.3"
"Gros bien durables de loisirs (D)";"09.1.2"
"Camping-cars, caravanes et remorques (D)";"09.1.2.1"
"Avions, ULM, planeurs, deltaplanes et montgolfières (D)";"09.1.2.2"
"Bateaux, yachts, moteurs hors-bord et autres équipements de sport nautique (D)";"09.1.2.3"
"Chevaux, poneys, chameaux et dromadaires, et leurs accessoires (D)";"09.1.2.4"
"Autres gros biens durables pour les loisirs (D)";"09.1.2.9"
"Autres biens de loisirs";"09.2"
"Jeux, jouets et articles de loisirs (SD)";"09.2.1"
"Ordinateurs de jeux vidéo, consoles, applications et logiciels de jeux (SD)";"09.2.1.1"
"Autres jeux, jouets et articles de loisirs (SD)";"09.2.1.2"
"Articles de fête (ND)";"09.2.1.3"
"Articles de sport, matériel de camping et matériel pour activités de plein air (SD)";"09.2.2"
"Articles de sport (SD)";"09.2.2.1"
"Matériel de camping et matériel pour activités de plein air (SD)";"09.2.2.2"
"Produits de jardinage et animaux de compagnie";"09.3"
"Produits de jardinage, plantes et fleurs (ND)";"09.3.1"
"Produits de jardinage (ND)";"09.3.1.1"
"Plantes, semences et fleurs (ND)";"09.3.1.2"
"Plantes et fleurs";"09.3.1.2.1"
"Semences";"09.3.1.2.2"
"Animaux de compagnie et produits pour animaux de compagnie (D)";"09.3.2"
"Animaux de compagnie (D)";"09.3.2.1"
"Produits pour animaux de compagnie et autres animaux domestiques (ND)";"09.3.2.2"
"Services récréatifs";"09.4"
"Location et réparation de matériel photographique et cinématographique et d’appareils optiques (S)";"09.4.1"
"Location et réparation de matériel photographique et cinématographique et d’appareils optiques (S)";"09.4.1.0"
"Location, entretien et réparation de gros biens durables de loisirs (S)";"09.4.2"
"Location, entretien et réparation de camping-cars et caravanes (S)";"09.4.2.1"
"Location, entretien et réparation d’autres gros biens durables de loisirs (S)";"09.4.2.2"
"Location et réparation de jeux, de jouets et d’articles de loisirs (S)";"09.4.3"
"Location de logiciels de jeux et abonnement à des jeux en ligne (S)";"09.4.3.1"
"Location et réparation de jeux, de jouets et d’articles de loisirs (S)";"09.4.3.2"
"Location et réparation d’équipements pour le sport, le camping et les loisirs de plein air (S)";"09.4.4"
"Location et réparation d’équipements pour le sport, le camping et les loisirs de plein air (S)";"09.4.4.0"
"Services vétérinaires et autres services pour animaux de compagnie (S)";"09.4.5"
"Services vétérinaires et autres services pour animaux de compagnie (S)";"09.4.5.0"
"Services récréatifs et sportifs (S)";"09.4.6"
"Services récréatifs et de loisirs (S)";"09.4.6.1"
"Services liés à la pratique du sport (S)";"09.4.6.2"
"Services liés à la fréquentation de manifestations sportives (S)";"09.4.6.3"
"Jeux de hasard (S)";"09.4.7"
"Jeux de hasard (S)";"09.4.7.0"
"Biens culturels";"09.5"
"Instruments de musique (D)";"09.5.1"
"Instruments de musique (D)";"09.5.1.0"
"Médias audiovisuels (SD)";"09.5.2"
"Médias audiovisuels (SD)";"09.5.2.0"
"Services culturels";"09.6"
"Services fournis par les cinémas, les théâtres et les salles de concert (S)";"09.6.1"
"Services fournis par les cinémas, les théâtres et les salles de concert (S)";"09.6.1.0"
"Services fournis par les musées, les bibliothèques et les sites culturels (S)";"09.6.2"
"Services fournis par les musées, les bibliothèques et les sites culturels (S)";"09.6.2.0"
"Services photographiques (S)";"09.6.3"
"Services photographiques (S)";"09.6.3.0"
"Autres services culturels (S)";"09.6.9"
"Autres services culturels (S)";"09.6.9.0"
"Journaux, livres et articles de papeterie";"09.7"
"Livres (SD)";"09.7.1"
"Manuels éducatifs et manuels scolaires (SD)";"09.7.1.1"
"Autres livres (SD)";"09.7.1.9"
"Journaux et périodiques (ND)";"09.7.2"
"Journaux (ND)";"09.7.2.1"
"Revues et publications périodiques (ND)";"09.7.2.2"
"Imprimés divers (ND)";"09.7.3"
"Imprimés divers (ND)";"09.7.3.0"
"Articles de papeterie et matériel de dessin (ND)";"09.7.4"
"Articles de papeterie et matériel de dessin (ND)";"09.7.4.0"
"Forfaits touristiques";"09.8"
"Forfaits touristiques (S)";"09.8.0"
"Forfaits touristiques (S)";"09.8.0.0"
"Services de l'enseignement";"10"
"Enseignement préscolaire et primaire";"10.1"
"Enseignement préscolaire et primaire (S)";"10.1.0"
"Enseignement préscolaire";"10.1.0.1"
"Enseignement primaire";"10.1.0.2"
"Enseignement secondaire";"10.2"
"Enseignement secondaire (S)";"10.2.0"
"Enseignement secondaire (S)";"10.2.0.0"
"Enseignement post-secondaire non supérieur";"10.3"
"Enseignement post-secondaire non supérieur (S)";"10.3.0"
"Enseignement post-secondaire non supérieur (S)";"10.3.0.0"
"Enseignement supérieur";"10.4"
"Enseignement supérieur (S)";"10.4.0"
"Enseignement supérieur (S)";"10.4.0.0"
"Enseignement non défini par niveau";"10.5"
"Enseignement non défini par niveau (S)";"10.5.0"
"Cours particuliers (S)";"10.5.0.1"
"Enseignement divers non défini par niveau (S)";"10.5.0.9"
"Services de restauration et d'hébergement";"11"
"Services de restauration et de débits de boissons";"11.1"
"Restaurants, cafés et similaires (S)";"11.1.1"
"Restaurants, cafés et établissements similaires — service complet (S)";"11.1.1.1"
"Restaurants, cafés et établissements similaires — service limité (S)";"11.1.1.2"
"Cantines, cafétérias et réfectoires (S)";"11.1.2"
"Cantines et cafétérias des universités, écoles et jardins d’enfants (S)";"11.1.2.1"
"Autres cantines, cafétérias et réfectoires (S)";"11.1.2.9"
"Services d’hébergement";"11.2"
"Services d’hébergement (S)";"11.2.0"
"Hôtels et hébergements similaires (S)";"11.2.0.1"
"Centres de vacances, camping, auberges de jeunesse et hébergements similaires (S)";"11.2.0.2"
"Campings et auberges de jeunesses
";"11.2.0.2.1"
"Centres de vacances ou de loisirs (villages vacances, résidence de tourisme, club de vacances)
";"11.2.0.2.2"
"Services d’hébergement scolaires et universitaires (S)";"11.2.0.3"
"Autres services d’hébergement (S)";"11.2.0.9"
"Assurance et services financiers";"12"
"Assurance";"12.1"
"Assurance-vie et assurance accidents (S)";"12.1.1"
"Assurance vie et accidents (S)";"12.1.1.0"
"Assurance liée à la santé (S)";"12.1.2"
"Assurance liée à la santé (S)";"12.1.2.0"
"Assurance liée aux logements (S)";"12.1.3"
"Assurance liée aux logements (S)";"12.1.3.0"
"Assurance liée aux transports (S)";"12.1.4"
"Assurance liée au transport personnel (S)";"12.1.4.1"
"Assurance voyage (S)";"12.1.4.2"
"Autres assurances (S)";"12.1.9"
"Autres assurances (S)";"12.1.9.0"
"Services financiers";"12.2"
"Services d’intermédiation financière indirectement mesurés (S)";"12.2.1"
"Services d’intermédiation financière indirectement mesurés (S)";"12.2.1.0"
"Frais explicites des institutions bancaires (S)";"12.2.2"
"Frais explicites des institutions bancaires (S)";"12.2.2.0"
"Autres services financiers (S)";"12.2.9"
"Frais de transfert de fonds (S)";"12.2.9.1"
"Autres services financiers n.c.a. (S)";"12.2.9.9"
"Soins corporels, protection sociale et biens et services divers";"13"
"Soins corporels";"13.1"
"Appareils électriques pour soins corporels (SD)";"13.1.1"
"Appareils électriques pour soins corporels (SD)";"13.1.1.1"
"Réparation d’appareils électriques pour soins corporels (S)";"13.1.1.2"
"Autres appareils, articles et produits pour soins corporels (ND)";"13.1.2"
"Autres appareils, articles et produits pour soins corporels (ND)";"13.1.2.0"
"Parfums et eaux de toilette";"13.1.2.0.1"
"Produits de maquillage et de soin de la peau";"13.1.2.0.2"
"Savons, dentifrices et produits de toilette";"13.1.2.0.3"
"Shampoings et produits capillaires divers";"13.1.2.0.4"
"Articles d’hygiène à base de papier ou de coton";"13.1.2.0.5"
"Autres appareils, articles et produits pour soins corporels n.c.a.";"13.1.2.0.6"
"Salons de coiffure et instituts de soins et de beauté (S)";"13.1.3"
"Services de coiffure (S)";"13.1.3.1"
"Soins de beauté corporels (S)";"13.1.3.2"
"Autres effets personnels";"13.2"
"Articles de bijouterie et montres (D)";"13.2.1"
"Articles de bijouterie et montres (D)";"13.2.1.1"
"Réparation et location de bijoux, horloges et montres (S)";"13.2.1.2"
"Articles religieux et articles pour célébrations religieuses et rituelles (SD)";"13.2.2"
"Articles religieux et articles pour célébrations religieuses et rituelles (SD)";"13.2.2.0"
"Autres effets personnels n.c.a. (SD)";"13.2.9"
"Articles de voyage, articles pour bébés et autres effets personnels n.c.a. (SD)";"13.2.9.1"
"Articles de voyage";"13.2.9.1.1"
"Articles de puériculture";"13.2.9.1.2"
"Autres effets personnels n.c.a.";"13.2.9.1.3"
"Réparation et location d’autres effets personnels (S)";"13.2.9.2"
"Protection sociale";"13.3"
"Protection sociale (S)";"13.3.0"
"Services de garde d’enfants (S)";"13.3.0.1"
"Maisons de retraite pour personnes âgées et foyers pour handicapés non-dispensateurs de soins médicaux (S)";"13.3.0.2"
"Services de soins à domicile pour personnes âgées et handicapées (S)";"13.3.0.3"
"Autres services de protection sociale (S)";"13.3.0.9"
"Autres services";"13.9"
"Autres services (S)";"13.9.0"
"Prostitution (S)";"13.9.0.1"
"Services religieux (S)";"13.9.0.2"
"Autres services n.c.a. (S)";"13.9.0.9"
"Services juridiques et de comptabilité";"13.9.0.9.1"
"Services funéraires";"13.9.0.9.2"
"Autres frais et services n.c.a. (S)";"13.9.0.9.3"
"Codes techniques de saisie";"98"
"Courses";"98.1"
"Courses alimentaires";"98.1.1"
"Courses en supermarché";"98.1.2"
"Courses non alimentaires";"98.1.3"
"Autres courses";"98.1.4"
"Divers";"98.2"
"Carte bancaire";"98.3"
"Illisible ou indéterminé";"98.4"
"Réduction";"98.5"
"Utilisation solde carte";"98.6"
"Argent de poche";"98.8"
"Hors champ COICOP";"99"
"Cadeaux, dons";"99.1"
"Opération bancaire (retrait, virement, prélèvement)";"99.2"
"Gros travaux";"99.3"
"Impôts, taxes et cotisations syndicales ou politiques";"99.4"
"Prélèvements employeur";"99.5"
"Autre";"99.9"
